,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
26296,196.681,POINT (-34.96874999999818 -8.38291666684853),-34.96874999999818,-8.38291666684853,BR,Brazil,BRA,76.0
26297,0.555481,POINT (-34.957916666664744 -8.363750000181312),-34.957916666664744,-8.363750000181312,BR,Brazil,BRA,76.0
26298,679.601,POINT (-34.93499999999818 -8.24041667024892),-34.93499999999818,-8.24041667024892,BR,Brazil,BRA,76.0
26299,3.23331,POINT (-79.03708333332975 -8.162083333509884),-79.03708333332975,-8.162083333509884,PE,Peru,PER,604.0
26300,80.2791,POINT (-34.89624999999825 -8.12291666684223),-34.89624999999825,-8.12291666684223,BR,Brazil,BRA,76.0
26301,0.859812,POINT (-79.12458333332972 -8.085416666841411),-79.12458333332972,-8.085416666841411,PE,Peru,PER,604.0
26302,764.867,POINT (-34.888749999998254 -8.082083333507967),-34.888749999998254,-8.082083333507967,BR,Brazil,BRA,76.0
26303,501.496,POINT (-34.88958333333164 -8.076250000174525),-34.88958333333164,-8.076250000174525,BR,Brazil,BRA,76.0
26304,653.799,POINT (-34.86208333333161 -8.032083333506762),-34.86208333333161,-8.032083333506762,BR,Brazil,BRA,76.0
26305,130.086,POINT (-34.837083333331634 -7.983750000172165),-34.837083333331634,-7.983750000172165,BR,Brazil,BRA,76.0
26306,242.638,POINT (-34.82874999999831 -7.957916666838344),-34.82874999999831,-7.957916666838344,BR,Brazil,BRA,76.0
26307,1.93162,POINT (-79.29708333332974 -7.935833334008294),-79.29708333332974,-7.935833334008294,PE,Peru,PER,604.0
26308,94.651,POINT (-34.84208333333163 -7.844583333502385),-34.84208333333163,-7.844583333502385,BR,Brazil,BRA,76.0
26309,134.396,POINT (-34.86374999999816 -7.8179166668350035),-34.86374999999816,-7.8179166668350035,BR,Brazil,BRA,76.0
26310,0.286193,POINT (-79.41208333332975 -7.770416666833853),-79.41208333332975,-7.770416666833853,PE,Peru,PER,604.0
26311,2.09941,POINT (-34.829583333331584 -7.724583333499481),-34.829583333331584,-7.724583333499481,BR,Brazil,BRA,76.0
26312,14.6825,POINT (-34.8541666681578 -7.694166666281831),-34.8541666681578,-7.694166666281831,BR,Brazil,BRA,76.0
26313,0.110239,POINT (-34.84124999999818 -7.677083333498331),-34.84124999999818,-7.677083333498331,BR,Brazil,BRA,76.0
26314,0.865502,POINT (-34.86833333333152 -7.658750003603586),-34.86833333333152,-7.658750003603586,BR,Brazil,BRA,76.0
26315,2.10785,POINT (-34.86708333333161 -7.657083333497837),-34.86708333333161,-7.657083333497837,BR,Brazil,BRA,76.0
26316,100.123,POINT (-34.84041666666485 -7.545416666828544),-34.84041666666485,-7.545416666828544,BR,Brazil,BRA,76.0
26317,1.26718,POINT (-34.822083333331534 -7.534583333494936),-34.822083333331534,-7.534583333494936,BR,Brazil,BRA,76.0
26318,1.27259,POINT (-34.80958333333143 -7.477083333493624),-34.80958333333143,-7.477083333493624,BR,Brazil,BRA,76.0
26319,19.8375,POINT (-34.8087499999981 -7.430416666825693),-34.8087499999981,-7.430416666825693,BR,Brazil,BRA,76.0
26320,1.11715,POINT (-34.80458333333138 -7.400416666825151),-34.80458333333138,-7.400416666825151,BR,Brazil,BRA,76.0
26321,4.61985,POINT (-79.5729166666631 -7.3983333339572255),-79.5729166666631,-7.3983333339572255,PE,Peru,PER,604.0
26322,1.43991,POINT (-34.80291666666494 -7.384583333491378),-34.80291666666494,-7.384583333491378,BR,Brazil,BRA,76.0
26323,1.4381,POINT (-34.80291666666494 -7.382916666824656),-34.80291666666494,-7.382916666824656,BR,Brazil,BRA,76.0
26324,2.72092,POINT (-79.59041666666303 -7.332083333490175),-79.59041666666303,-7.332083333490175,PE,Peru,PER,604.0
26325,2.58082,POINT (-34.7991666666648 -7.277916670278387),-34.7991666666648,-7.277916670278387,BR,Brazil,BRA,76.0
26326,21.4596,POINT (-34.80708333333166 -7.240416666821261),-34.80708333333166,-7.240416666821261,BR,Brazil,BRA,76.0
26327,26.7377,POINT (-34.80291666666483 -7.2079166668206085),-34.80291666666483,-7.2079166668206085,BR,Brazil,BRA,76.0
26328,1.82568,POINT (-79.6737499999964 -7.197083333487001),-79.6737499999964,-7.197083333487001,PE,Peru,PER,604.0
26329,339.847,POINT (-34.82291666666487 -7.123750000151858),-34.82291666666487,-7.123750000151858,BR,Brazil,BRA,76.0
26330,0.165224,POINT (-79.692916666663 -7.115416666818419),-79.692916666663,-7.115416666818419,PE,Peru,PER,604.0
